name,all_active_durations_in_seconds,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
Activity Analysis,"407, 387, 403, 424, 415, 428, 1073, 1610, 431, 567, 342, 341, 301, 600, 1171, 329, 446, 355, 302, 1042, 375, 425, 409, 325",Asia/Singapore,2015-02-28T16:00:00.000Z,null,null
Activity Analysis,"395, 437, 407, 442, 741, 1398, 962, 301, 790, 620, 1485, 328, 329, 326, 521, 1121, 514, 412, 328, 986, 387, 781, 655, 883, 849, 477",Asia/Singapore,2015-02-27T16:00:00.000Z,null,null
Activity Analysis,"427, 454, 448, 544, 1450, 753, 1286, 495, 349, 1221, 310, 301, 349, 453, 1175, 351, 593, 504, 397",Asia/Singapore,2015-02-26T16:00:00.000Z,null,null
Activity Analysis,"379, 461, 428, 461, 417, 439, 563, 723, 3266, 373, 355, 302, 552, 2367, 434, 323, 1273, 827, 302, 301, 984, 561, 535, 362, 1372, 301, 535, 343, 380, 744, 318",Asia/Singapore,2015-02-25T16:00:00.000Z,null,null
Activity Analysis,"559, 456, 407, 514, 429, 661, 618, 824, 663, 958, 547, 1227, 1856, 391, 625, 808, 706, 364, 402, 414, 369, 369, 440, 370, 388, 891, 346, 379, 1186, 435",Asia/Singapore,2015-02-24T16:00:00.000Z,null,null
Activity Analysis,"489, 319, 538, 419, 311, 514, 403, 412, 1458, 569, 368, 756, 381, 301, 596, 327, 419, 389, 620, 751, 371, 358, 605, 1765, 333, 797, 342, 472, 3029, 383, 350, 332, 419, 1273, 303, 420, 399, 391, 628, 1074",Asia/Singapore,2015-02-23T16:00:00.000Z,null,null
Activity Analysis,"408, 497, 417, 463, 542, 936, 545, 1518, 1032, 762, 459, 750, 1986, 1467, 451, 461, 609, 301, 510, 788, 349, 455, 1141, 739, 375",Asia/Singapore,2015-02-22T16:00:00.000Z,null,null
Activity Analysis,"413, 418, 429, 448, 416, 1347, 1384, 764, 496, 3190, 301, 394, 1035, 676, 307, 1121, 344, 305, 469, 323, 989, 460",Asia/Singapore,2015-02-21T16:00:00.000Z,null,null
Activity Analysis,"555, 1044, 430, 415, 418, 401, 778, 1198, 340, 644, 1447, 324, 333, 436, 305, 425, 458, 1280, 992, 342, 727, 900, 367, 443, 309, 891, 1274, 321, 302, 694",Asia/Singapore,2015-02-20T16:00:00.000Z,null,null
Activity Analysis,"301, 436, 502, 405, 1016, 305, 445, 416, 609, 733, 308, 491, 301, 1262, 316, 1309, 665, 359, 1537, 306, 364, 502, 364, 329, 365, 415, 461, 349, 562, 455, 612, 441, 558, 392, 302, 591, 364",Asia/Singapore,2015-02-19T16:00:00.000Z,null,null
Activity Analysis,"750, 419, 381, 390, 479, 406, 432, 407, 611, 2073, 331, 349, 412, 1033, 1178, 1660, 2850, 551, 305, 489, 517, 379, 425, 934, 685, 766, 337, 423, 1416, 716, 1335, 723, 841, 526, 2093, 307, 341, 375, 576, 880, 1069, 577, 359, 411, 491, 302, 464",Asia/Singapore,2015-02-18T16:00:00.000Z,null,null
Activity Analysis,"393, 429, 530, 465, 459, 632, 1424, 570, 3287, 2371, 1140, 388, 418, 823, 544, 572, 301, 705, 337, 376, 574, 1064, 356, 398, 502, 357, 378, 442, 377",Asia/Singapore,2015-02-17T16:00:00.000Z,null,null
Activity Analysis,"470, 441, 408, 424, 442, 686, 607, 884, 1021, 301, 514, 813, 967, 509, 348, 2212, 468, 1826, 1049, 634, 531, 312, 366, 591, 1072, 302, 388, 1106, 459, 670, 412, 704, 353, 306, 431, 400, 458",Asia/Singapore,2015-02-16T16:00:00.000Z,null,null
Activity Analysis,"528, 301, 427, 852, 675, 423, 396, 404, 408, 710, 472, 834, 599, 635, 781, 1193, 6339, 575, 386, 712, 726, 301, 335, 324, 1196, 436, 301, 708, 385, 353, 1256, 376, 360, 476, 666, 2660, 343, 572, 465, 664, 483, 540",Asia/Singapore,2015-02-15T16:00:00.000Z,null,null
Activity Analysis,"301, 390, 406, 413, 434, 436, 1069, 692, 1129, 391, 361, 820, 815, 327, 426, 352, 872, 459, 1581, 301, 560, 302, 1047, 535, 457, 404, 935, 432, 849, 588, 313, 380, 388, 301, 568, 441, 412, 326, 578, 367, 621",Asia/Singapore,2015-02-14T16:00:00.000Z,null,null
Activity Analysis,"605, 500, 445, 410, 412, 569, 2169, 788, 389, 609, 908, 459, 757, 318, 743, 1371, 1191, 332, 472, 376, 503, 449, 558",Asia/Singapore,2015-02-13T16:00:00.000Z,null,null
Activity Analysis,"399, 463, 425, 419, 444, 1629, 2915, 878, 646, 451, 664, 305, 484, 359, 646, 326, 316, 592, 380, 340, 308, 310",Asia/Singapore,2015-02-12T16:00:00.000Z,null,null
Activity Analysis,"1017, 448, 392, 778, 435, 921, 4033, 331, 363, 601, 1145, 327, 326, 1058, 1401, 862, 2116, 671, 480, 341, 301, 523, 1367, 330, 431, 302, 772, 872, 457, 435, 308, 306, 385, 484, 352, 607, 359, 422",Asia/Singapore,2015-02-11T16:00:00.000Z,null,null
Activity Analysis,"419, 412, 375, 369, 388, 444, 417, 336, 422, 394, 586, 845, 470, 986, 742, 1288, 2597, 503, 317, 567, 4016, 316, 301, 559, 484, 453, 616, 1156",Asia/Singapore,2015-02-10T16:00:00.000Z,null,null
Activity Analysis,"370, 396, 414, 446, 554, 1127, 693, 934, 710, 563, 859, 301, 457, 324, 529, 1267, 315, 821, 342, 559, 388, 696, 328, 637, 1545, 1198, 359, 454, 378, 333, 848, 1133, 478, 723, 476, 1294, 415, 562, 680, 309",Asia/Singapore,2015-02-09T16:00:00.000Z,null,null
Activity Analysis,"403, 448, 398, 403, 442, 728, 2337, 816, 470, 949, 2648, 449, 638, 672, 300, 435, 1390, 759, 1409, 318, 545, 1006, 308, 386, 432, 469, 794, 590, 546, 1129, 407, 397",Asia/Singapore,2015-02-08T16:00:00.000Z,null,null
Activity Analysis,"415, 404, 414, 476, 1033, 1545, 326, 1646, 424, 416, 1230, 457, 560, 636, 523, 370, 674",Asia/Singapore,2015-02-07T16:00:00.000Z,null,null
Activity Analysis,"375, 490, 440, 415, 458, 525, 619, 430, 476, 411, 2158, 857, 464, 522, 1012, 450, 319, 456, 526, 656, 335, 321, 380, 362, 378, 380, 807",Asia/Singapore,2015-02-06T16:00:00.000Z,null,null
Activity Analysis,"453, 435, 446, 436, 450, 1160, 1541, 315, 395, 730, 1719, 594, 308, 356, 418, 1001, 910, 412, 359, 356, 720, 359, 506, 514, 507",Asia/Singapore,2015-02-05T16:00:00.000Z,null,null
Activity Analysis,"630, 600, 392, 400, 418, 427, 798, 811, 1047, 607, 1947, 1698, 341, 624, 798, 313, 1246, 463, 725, 484, 453, 373, 2478, 316, 307, 604, 672, 392, 943, 781, 309, 548",Asia/Singapore,2015-02-04T16:00:00.000Z,null,null
Activity Analysis,"408, 445, 962, 407, 430, 497, 467, 343, 2115, 815, 372, 307, 501",Asia/Singapore,2015-02-03T16:00:00.000Z,null,null
Activity Analysis,"450, 420, 465, 615, 1290, 374, 2193, 350, 794, 624, 435, 2410, 1826, 435, 578, 454, 333, 559, 390, 303, 301, 383, 326, 1415, 467, 582, 696, 732, 454, 1245, 316, 646, 518, 1192, 327, 562",Asia/Singapore,2015-02-02T16:00:00.000Z,null,null
