name,all_inactive_durations_in_seconds,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
Activity Analysis,"4710, 6253, 3058, 2691, 7676, 3487, 817, 798, 1661, 1087, 750, 869, 692, 524, 2324, 1764, 468, 768, 408, 840, 1970, 468, 2339",Asia/Singapore,2015-02-28T16:00:00.000Z,null,null
Activity Analysis,"2301, 9087, 5642, 11542, 850, 485, 355, 1654, 501, 1614, 618, 513, 447, 474, 370, 446, 874, 1417, 1364, 524, 430, 4421, 722, 658",Asia/Singapore,2015-02-27T16:00:00.000Z,null,null
Activity Analysis,"6528, 10099, 2571, 6852, 328, 1341, 1165, 1151, 361, 783, 555, 954, 927, 825, 446, 634, 967, 3650",Asia/Singapore,2015-02-26T16:00:00.000Z,null,null
Activity Analysis,"1026, 6436, 4316, 1854, 6743, 9472, 8656, 396, 2758, 412, 331, 893, 676, 2683, 585, 1706, 351, 1471, 521, 316, 729, 2468, 2195, 1139, 499, 1724, 413, 336, 3076, 2270",Asia/Singapore,2015-02-25T16:00:00.000Z,null,null
Activity Analysis,"6259, 3928, 6284, 8224, 3491, 5255, 1345, 396, 2120, 1253, 1726, 313, 396, 750, 903, 471, 1251, 1728, 603, 320, 563, 393, 609, 385, 2665, 1246, 363, 900",Asia/Singapore,2015-02-24T16:00:00.000Z,null,null
Activity Analysis,"1335, 341, 5175, 1128, 3319, 872, 7219, 11445, 1733, 570, 305, 822, 417, 344, 1217, 366, 405, 367, 301, 319, 1043, 575, 618, 324, 1758, 825, 603, 423, 480, 503, 371, 521, 2588, 686, 328, 734, 525, 680, 644",Asia/Singapore,2015-02-23T16:00:00.000Z,null,null
Activity Analysis,"3905, 7620, 7454, 3736, 5327, 1629, 797, 1718, 450, 375, 362, 439, 547, 787, 816, 559, 657, 1979, 346, 856, 480, 610, 788, 344",Asia/Singapore,2015-02-22T16:00:00.000Z,null,null
Activity Analysis,"5681, 3145, 4662, 6051, 3817, 1575, 1122, 943, 322, 1226, 421, 467, 1234, 1302, 426, 1857, 570, 3889, 418, 417, 335",Asia/Singapore,2015-02-21T16:00:00.000Z,null,null
Activity Analysis,"1916, 3625, 7897, 2253, 6865, 8661, 394, 457, 1382, 766, 392, 463, 1018, 317, 401, 450, 387, 437, 590, 605, 1071, 307, 707, 405, 863, 423, 481, 539, 3994",Asia/Singapore,2015-02-20T16:00:00.000Z,null,null
Activity Analysis,"1115, 622, 726, 6326, 2315, 6040, 6102, 4047, 1603, 485, 484, 302, 371, 3841, 434, 1491, 495, 884, 1504, 319, 454, 880, 368, 1234, 722, 1288, 404, 1127, 1525, 791, 1059, 920, 493, 1854, 986",Asia/Singapore,2015-02-19T16:00:00.000Z,null,null
Activity Analysis,"2642, 1646, 1937, 2629, 1955, 3227, 5253, 10095, 7171, 340, 1169, 1174, 439, 312, 594, 345, 309, 315, 733, 485, 644, 746, 692, 4355, 365, 646, 3944, 689, 661, 393, 477, 352, 837, 451, 372, 442, 372, 642, 456, 365, 1063, 1405, 933, 698, 328, 449, 904",Asia/Singapore,2015-02-18T16:00:00.000Z,null,null
Activity Analysis,"8930, 5248, 5224, 8093, 2083, 6683, 1123, 601, 4808, 2063, 689, 644, 681, 616, 307, 709, 581, 429, 1533, 565, 769, 1644, 326, 662, 987, 899, 1338, 1683",Asia/Singapore,2015-02-17T16:00:00.000Z,null,null
